university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
Harvard University,2012,1,USA,1,7,1,5,100,100,100,95.8,67.5,97.4,20152,8.9
Harvard University,2013,1,USA,1,1,1,7,100,100,100,94.9,63.7,98.6,20152,8.9
Harvard University,2014,1,USA,1,1,1,2,100,100,100,95.3,66.2,98.5,20152,8.9
Harvard University,2015,1,USA,1,1,1,3,100,100,100,92.9,67.6,98.6,20152,8.9
Stanford University,2013,2,USA,2,11,2,11,93.94,80.7,69.4,95,56.6,98.8,15596,7.8
Stanford University,2014,2,USA,2,11,3,6,99.09,82.8,70.9,94.7,68,96.8,15596,7.8
Stanford University,2015,2,USA,2,9,3,10,98.66,89.6,70.6,91.5,69,96.7,15596,7.8
Stanford University,2012,3,USA,3,17,2,15,89.5,79.7,69.6,94.8,57.2,98.9,15596,7.8
University of Oxford,2013,3,United Kingdom,1,7,13,15,92.54,55.3,69.9,89.7,88.7,98.1,19919,11.6
University of Cambridge,2012,4,United Kingdom,1,10,11,50,86.17,97.2,65.9,90.5,85.3,94.2,18812,11.8
University of Cambridge,2014,4,United Kingdom,1,2,12,48,97.64,96.6,66.5,90.6,86.7,95.3,18812,11.8
University of Cambridge,2015,4,United Kingdom,1,2,12,48,96.81,96.6,66.4,89.7,87.8,95.6,18812,11.8
California Institute of Technology,2012,5,USA,4,2,22,18,85.21,68.8,46.2,95.7,56,98.2,2243,6.9
University of Cambridge,2013,5,United Kingdom,2,3,10,39,90.24,97.3,66.2,91.2,83.6,95.6,18812,11.8
University of Oxford,2014,5,United Kingdom,2,7,11,16,97.51,54.9,72.7,89,90.2,98.5,19919,11.6
University of Oxford,2015,5,United Kingdom,2,7,7,15,96.46,54.9,70.9,88.6,90.7,97.7,19919,11.6
Columbia University,2013,6,USA,4,13,11,10,88.21,66.4,68,89.7,66.1,82,25055,5.9
Columbia University,2014,6,USA,4,13,9,4,97.41,65.9,69.1,86.6,68,79.1,25055,5.9
Columbia University,2015,6,USA,4,13,11,4,96.14,65.9,68.8,83.9,68.3,79.4,25055,5.9
Princeton University,2012,6,USA,5,8,26,101,82.5,91.3,44.5,91.5,49.6,99.1,7929,8.4
"University of California, Berkeley",2013,7,USA,5,6,4,19,85.07,79,68.1,85.1,49.7,99.3,36186,16.4
"University of California, Berkeley",2015,7,USA,5,5,4,29,92.25,79.4,67.9,84.2,58.5,96.7,36186,16.4
University of Oxford,2012,7,United Kingdom,2,13,19,26,82.34,56.6,68.9,89.5,91.9,96.6,19919,11.6
Princeton University,2013,8,USA,6,4,27,101,82.17,89.2,44,89.5,54.5,99.4,7929,8.4
University of Chicago,2014,8,USA,6,10,10,149,92.03,86.3,50.7,85.6,58.6,88.2,14221,6.9
University of Chicago,2015,8,USA,6,11,12,141,90.7,86.3,49.8,83.9,65.2,89.9,14221,6.9
Yale University,2012,8,USA,6,14,15,66,79.14,45.5,62.3,92.3,55.5,91.2,11751,4.4
Columbia University,2012,9,USA,7,23,14,5,78.86,68,67.8,89.1,67.6,81.8,25055,5.9
Princeton University,2014,9,USA,7,5,19,204,88.56,88.5,44.2,89.9,59.6,97.6,7929,8.4
Princeton University,2015,9,USA,7,4,24,225,89.42,93.4,42.4,86.6,61.2,94.7,7929,8.4
University of Chicago,2013,9,USA,7,9,30,101,79.16,83.4,49.8,89.6,55.3,92.9,14221,6.9
Cornell University,2015,10,USA,8,12,25,11,86.79,49.8,59.9,71.6,59,83.8,21424,10.2
"University of California, Berkeley",2012,10,USA,8,16,3,16,78.55,80.9,68.1,82.8,50.4,99.4,36186,16.4
Yale University,2013,10,USA,8,10,22,42,78.83,44.5,62.4,93.2,54.7,92.5,11751,4.4
Yale University,2014,10,USA,8,9,32,45,88.11,50.4,62.9,89.5,57.6,90.5,11751,4.4
California Institute of Technology,2013,11,USA,9,5,25,17,77.59,67.2,45.2,96.3,59.8,99.4,2243,6.9
Cornell University,2014,11,USA,9,12,23,12,85.8,49.8,61,72.1,55.6,83.8,21424,10.2
University of Chicago,2012,11,USA,9,15,28,101,73.82,85.3,49.2,89.4,58.8,90.8,14221,6.9
Yale University,2015,11,USA,9,10,35,49,86.61,50.4,63,88.5,59.8,90.8,11751,4.4
California Institute of Technology,2014,12,USA,10,6,16,9,85.5,66.7,44.9,94.4,65.8,98.2,2243,6.9
California Institute of Technology,2015,12,USA,10,6,19,13,84.4,66.7,44,92.2,67,98.1,2243,6.9
Cornell University,2012,12,USA,10,21,16,10,73.69,51.3,55.5,70.4,53.4,87.2,21424,10.2
University of Pennsylvania,2013,12,USA,10,22,9,14,77.24,34.1,66.7,90,38.1,89.4,20376,6.5
Cornell University,2013,13,USA,11,12,15,7,76.99,50.2,55.2,77,53.8,92.1,21424,10.2
University of Pennsylvania,2012,13,USA,11,31,8,9,73.64,34.9,67.9,87,34.3,86.1,20376,6.5
University of Pennsylvania,2014,14,USA,11,21,13,28,79.3,33.8,66.9,79.8,40.6,81.2,20376,6.5
University of Pennsylvania,2015,14,USA,11,20,14,14,77.6,33.8,67.7,79,43.8,82,20376,6.5
Kyoto University,2013,15,Japan,2,32,58,13,69.46,37.5,60.2,77.1,26.3,74.8,22809,5.6
"University of California, Los Angeles",2014,15,USA,12,27,7,10,78.35,47.1,71.3,84.8,46.4,91,38206,10.3
"University of California, Los Angeles",2015,15,USA,12,28,8,9,76.91,47.1,70.7,82.4,49.2,90.5,38206,10.3
Johns Hopkins University,2015,16,USA,13,18,5,2,71.6,33.6,70.2,75.6,59.7,84.2,15128,3.6
Kyoto University,2014,16,Japan,2,30,61,18,73.21,37.2,61.2,69.5,27.5,69.5,22809,5.6
"University of California, Los Angeles",2013,16,USA,12,38,6,12,67.84,47.4,71.2,87.3,42.3,93.8,38206,10.3
Kyoto University,2012,17,Japan,2,42,43,23,65.76,35.1,63,76.4,21.1,72,22809,5.6
Kyoto University,2015,17,Japan,2,22,88,16,68.6,37.2,59,70.4,29,68.4,22809,5.6
New York University,2014,17,USA,13,33,32,48,72.29,31.9,56.6,65.4,41.8,58.4,42056,6.8
New York University,2015,18,USA,14,32,46,43,68.39,31.9,56.2,68.3,41.2,62.4,42056,6.8
New York University,2013,19,USA,14,37,33,51,63.99,32.2,55.5,73.8,38.7,67.4,42056,6.8
"University of California, Los Angeles",2012,19,USA,13,62,6,13,64.05,43.4,72.2,85.9,41,92.5,38206,10.3
"University of California, San Diego",2012,20,USA,14,61,10,22,63.11,36.6,64,61.4,31.5,72,27233,6.5
"University of California, San Diego",2013,20,USA,15,33,14,22,63.12,35.8,63.4,63.4,34.2,79,27233,6.5
"University of California, San Diego",2014,20,USA,15,32,19,13,68.36,35.5,65,52,35.6,63,27233,6.5
"University of California, San Diego",2015,21,USA,16,36,15,17,66.59,35.5,62.9,52,37,66.6,27233,6.5
Northwestern University,2015,22,USA,17,163,27,42,66.56,22.1,58.1,72.7,36.7,78.9,18334,13.8
New York University,2012,23,USA,16,89,34,62,60.55,32.9,55.7,60.2,38.1,65.4,42056,6.8
Northwestern University,2014,23,USA,17,151,25,61,66.18,22.1,58.2,70.2,34.4,76,18334,13.8
Seoul National University,2014,24,South Korea,1,355,87,5,66.06,0,67.8,76.4,29.4,79.2,26389,13.9
Seoul National University,2015,24,South Korea,1,367,146,6,64.82,0,67.1,75.5,30.3,77.1,26389,13.9
Duke University,2013,25,USA,19,89,17,24,57.72,15,61.6,72.3,45.8,81.5,15172,4.8
Duke University,2014,26,USA,19,65,13,42,63.56,14.9,61.9,73.9,50,73,15172,4.8
Duke University,2012,27,USA,20,65,12,20,58.37,0,62.7,62.6,46.9,77.9,15172,4.8
University College London,2015,27,United Kingdom,3,21,15,67,62.27,36.2,71.7,70.4,90.6,80.4,26607,10.7
Duke University,2015,28,USA,20,74,15,33,61.55,14.9,61.7,73.5,50.5,75.2,15172,4.8
Northwestern University,2013,28,USA,21,101,24,30,56.12,22.2,57.5,77.6,33.8,87.3,18334,13.8
